"species","lon","lat"
"Pilostigma Thonigilii/Monkey Bread",29.3137764,-16.7127171
"Acacia Siebriana",29.3076882,-16.7135789
"Red Mahogany",29.3071851,-16.7139744
"Red Mahogany",29.3063954,-16.7135884
"Acacia Polycantha",29.305319,-16.7136791
"Kigelia Africana",29.3050882,-16.7141372
"Pilostigma Thonigilii/Monkey Bread",29.3048371,-16.7141585
"Pilostigma Thonigilii/Monkey Bread",29.3039309,-16.7134097
"Pilostigma Thonigilii/Monkey Bread",29.3017114,-16.7113602
"Munyii/Bechemia discolor",29.3014511,-16.7102821
"Waterberry",29.4892645,-16.9895194
"Waterberry",29.4977995,-16.9883878
"Pilostigma Thonigilii/Monkey Bread",29.5012534,-16.9895731
"Pilostigma Thonigilii/Monkey Bread",29.4876373,-16.9944772
"Pilostigma Thonigilii/Monkey Bread",29.4752527,-16.9979356
"Pilostigma Thonigilii/Monkey Bread",29.4605439,-16.9919581
"Acacia Galpinii",29.6694654,-16.3944634
"Acacia Siebriana",29.6679465,-16.3943018
"Acacia Galpinii",29.669647,-16.3932607
"Acacia Galpinii",29.6799644,-16.396224
"Pilostigma Thonigilii/Monkey Bread",29.409311,-16.3987806
"Pilostigma Thonigilii/Monkey Bread",29.4086923,-16.3977642
"Waterberry",29.4088601,-16.3975981
"Acacia Siebriana",29.4088505,-16.3971302
"Pilostigma Thonigilii/Monkey Bread",29.4091138,-16.3965388
"Acacia Polycantha",29.4092743,-16.396411
"Acacia Siebriana",29.4103089,-16.3955505
"Acacia Siebriana",29.4095997,-16.3960408
"Acacia Polycantha",29.5655552,-16.3669213
"Acacia Polycantha",29.5656962,-16.3669599
"Pilostigma Thonigilii/Monkey Bread",29.5660577,-16.3670855
"Pilostigma Thonigilii/Monkey Bread",29.5667059,-16.3673242
"Fidebhia Abida",29.5668699,-16.3676333
"Acacia Polycantha",29.376496,-16.7627279
"Kigelia Africana",29.3988862,-16.7833312
"Acacia Polycantha",29.1923425,-16.8827714
"Acacia Polycantha",29.1926361,-16.8829356
"Acacia Polycantha",29.1927322,-16.8829367
"Acacia Polycantha",29.6228709,-16.4746548
"Acacia Siebriana",29.6233054,-16.4745052
"Acacia Polycantha",29.6232673,-16.4746281
"Acacia Siebriana",29.6231438,-16.4752131
"Acacia Polycantha",29.3726635,-16.7568108
"Pilostigma Thonigilii/Monkey Bread",29.6334758,-16.3149039
"Pilostigma Thonigilii/Monkey Bread",29.6388403,-16.32295
"Acacia Siebriana",29.6442048,-16.330996
"Pilostigma Thonigilii/Monkey Bread",29.6339641,-16.3306851
"Pilostigma Thonigilii/Monkey Bread",29.6358817,-16.3473345
"Acacia Siebriana",29.6415691,-16.3388143
"Acacia Siebriana",29.6311655,-16.3236158
"Acacia Polycantha",29.6311655,-16.3236158
"Pilostigma Thonigilii/Monkey Bread",29.6494338,-16.3509881
"Pilostigma Thonigilii/Monkey Bread",29.6689754,-16.3541495
"Pilostigma Thonigilii/Monkey Bread",29.6695156,-16.3539532
"Pilostigma Thonigilii/Monkey Bread",29.6788055,-16.3394882
"Acacia Polycantha",29.6787392,-16.339105
"Pilostigma Thonigilii/Monkey Bread",29.6786752,-16.3388513
"Acacia Polycantha",29.6786636,-16.3387476
"Acacia Polycantha",29.6786474,-16.3386894
"Pilostigma Thonigilii/Monkey Bread",29.6786423,-16.3386869
"Acacia Siebriana",29.3419214,-16.7277414
"Acacia Siebriana",29.3390672,-16.7286227
"Acacia Polycantha",29.3440525,-16.7313283
"Acacia Siebriana",29.358245,-16.7076419
"Pilostigma Thonigilii/Monkey Bread",29.3541838,-16.7191944
"Acacia Siebriana",29.3542653,-16.719135
"Acacia Polycantha",29.8335849,-16.5591923
"Acacia Siebriana",29.8348118,-16.5587042
"Acacia Siebriana",-46548.6539,316354.2972
"Kigelia Africana",29.3493389,-16.8293836
"Pilostigma Thonigilii/Monkey Bread",29.3586795,-16.7317324
"Acacia Galpinii",29.3505822,-16.800213
"Acacia Galpinii",29.3498543,-16.799001
"Acacia Polycantha",29.5985988,-16.4381456
"Pilostigma Thonigilii/Monkey Bread",29.598822,-16.4382461
"Acacia Siebriana",29.6024751,-16.4412317
"Pilostigma Thonigilii/Monkey Bread",29.6079646,-16.440803
"Pilostigma Thonigilii/Monkey Bread",29.6240825,-16.4630481
"Acacia Siebriana",29.6192247,-16.4607137
"Acacia Polycantha",29.7092629,-16.3767
"Pilostigma Thonigilii/Monkey Bread",29.5215233,-16.5101033
"Acacia Polycantha",29.521525,-16.5100766
"Pilostigma Thonigilii/Monkey Bread",29.5209433,-16.5118416
"Pilostigma Thonigilii/Monkey Bread",29.5209883,-16.5181483
"Pilostigma Thonigilii/Monkey Bread",29.521,-16.5181666
"Acacia Siebriana",29.5214983,-16.523205
"Acacia Siebriana",29.5217717,-16.5238883
"Pilostigma Thonigilii/Monkey Bread",29.5289859,-16.5229845
"Acacia Galpinii",29.664432,-16.3513721
"Pilostigma Thonigilii/Monkey Bread",29.6644983,-16.3514408
"Acacia Polycantha",29.6645397,-16.3515115
"Acacia Polycantha",29.6645811,-16.3514054
"Waterberry",29.6646212,-16.3512331
"Acacia Polycantha",29.6645484,-16.3511875
"Acacia Polycantha",29.6642069,-16.3506969
"Acacia Polycantha",29.6642038,-16.3506088
"Acacia Polycantha",29.6631667,-16.3490536
"Acacia Polycantha",29.6630538,-16.3489817
"Acacia Polycantha",29.6629059,-16.3489842
"Pilostigma Thonigilii/Monkey Bread",29.4102567,-16.3993016
"Acacia Siebriana",29.4164917,-16.3895333
"Acacia Galpinii",29.2921303,-16.7117704
"Pilostigma Thonigilii/Monkey Bread",29.2767569,-16.7127261
"Acacia Galpinii",29.5744012,-16.3957012
"Acacia Siebriana",29.5745524,-16.395719
"Pilostigma Thonigilii/Monkey Bread",29.5864871,-16.3727597
"Pilostigma Thonigilii/Monkey Bread",29.5858226,-16.372723
"Acacia Polycantha",29.5858015,-16.3727971
"Acacia Siebriana",29.5856153,-16.373119
"Pilostigma Thonigilii/Monkey Bread",29.5857189,-16.3738109
"Acacia Polycantha",29.5855906,-16.374104
"Acacia Siebriana",29.5854206,-16.3743564
"Pilostigma Thonigilii/Monkey Bread",29.5835047,-16.3780473
"Acacia Siebriana",29.5835357,-16.3780576
"Pilostigma Thonigilii/Monkey Bread",29.5834717,-16.3786692
"Acacia Polycantha",29.5834617,-16.3791867
"Acacia Polycantha",29.5834993,-16.3794831
"Acacia Polycantha",29.583104,-16.3800353
"Pilostigma Thonigilii/Monkey Bread",29.5830043,-16.3804085
"Acacia Polycantha",29.5830043,-16.3804418
"Pilostigma Thonigilii/Monkey Bread",29.5832136,-16.3822085
"Pilostigma Thonigilii/Monkey Bread",29.5835327,-16.3829313
"Pilostigma Thonigilii/Monkey Bread",29.5833998,-16.3832386
"Acacia Siebriana",29.5811053,-16.38565
"Acacia Galpinii",29.287343,-16.7230286
"Acacia Galpinii",29.6885736,-16.3995752
"Pilostigma Thonigilii/Monkey Bread",29.6913122,-16.400331
"Pilostigma Thonigilii/Monkey Bread",29.693499,-16.4182186
"Pilostigma Thonigilii/Monkey Bread",29.6971549,-16.411324
"Acacia Polycantha",29.7012549,-16.3940901
"Pilostigma Thonigilii/Monkey Bread",29.7013083,-16.3935727
"Acacia Galpinii",29.6714276,-16.3938666
"Acacia Polycantha",29.6660749,-16.3902516
"Acacia Polycantha",29.6635503,-16.3922417
"Acacia Galpinii",29.260575,-16.7116086
"Acacia Polycantha",29.2605589,-16.7114903
"Acacia Siebriana",29.4813725,-16.9790745
"Pilostigma Thonigilii/Monkey Bread",29.4800471,-16.9709975
"Pilostigma Thonigilii/Monkey Bread",29.399028,-16.9055678
"Acacia Galpinii",28.9905143,-17.0069842
"Acacia Galpinii",29.0336133,-17.0298616
"Fidebhia Abida",29.0305497,-17.0318016
"Pilostigma Thonigilii/Monkey Bread",29.4467966,-17.0029952
"Waterberry",29.4451767,-17.0030751
"Acacia Polycantha",29.4409081,-17.0038884
"Pilostigma Thonigilii/Monkey Bread",29.4386474,-17.0052271
"Acacia Polycantha",29.4398353,-17.0057442
"Waterberry",29.4408611,-17.006238
"Pilostigma Thonigilii/Monkey Bread",29.4442034,-17.0069895
"Waterberry",29.4472144,-17.0076218
"Pilostigma Thonigilii/Monkey Bread",29.452404,-17.0045998
"Pilostigma Thonigilii/Monkey Bread",29.4554217,-17.0010663
"Pilostigma Thonigilii/Monkey Bread",29.3961176,-16.9076261
"Pilostigma Thonigilii/Monkey Bread",29.3833964,-16.8995124
"Pilostigma Thonigilii/Monkey Bread",29.3831049,-16.8992348
"Pilostigma Thonigilii/Monkey Bread",29.3818322,-16.8990728
"Acacia Polycantha",29.3863071,-16.9014755
"Pilostigma Thonigilii/Monkey Bread",29.3954033,-16.9069025
"Pilostigma Thonigilii/Monkey Bread",29.3832932,-16.8996326
"Pilostigma Thonigilii/Monkey Bread",29.38315,-16.8995888
